id,trigger,conditions,script,text,options,notes
#RULESET_NAME Sunrider,,,,,,
,,,,,,
# Ava quest,,,,,,
sunrider_findSunrider_barOpt,AddBarEvents,"$global.daysSinceStart > 800
!$global.sunrider_findSunrider_seenMission
$faction.id != pirates
$faction.id != luddic_path
!$global.sunrider_findSunrider_blockMission
!Sunrider_MiscFunctions isAvaInParty","AddBarEvent sunrider_findSunrider_barEvent ""Take a seat and wait for the officer to make the first move"" ""A dark-haired woman in an officer's uniform you don't recognize is standing in a dimly lit corner of the bar. When you catch her eye, she seems to shift uneasily."" highlight",,,
sunrider_findSunrider_barOptDev,AddBarEvents,"!$global.sunrider_findSunrider_seenMission
$global.isDevMode
$global.daysSinceStart <= 800
!Sunrider_MiscFunctions isAvaInParty","AddBarEvent sunrider_findSunrider_barEvent ""Take a seat and wait for the officer to make the first move"" ""A dark-haired woman in an officer's uniform you don't recognize is standing in a dimly lit corner of the bar. When you catch her eye, she seems to shift uneasily."" highlight",,,
sunrider_findSunrider_intro,DialogOptionSelected,$option == sunrider_findSunrider_barEvent,"$global.sunrider_findSunrider_seenMission = true
ShowImageVisual SunriderAvaNeutral","The brunette slowly approaches, an eyepatch adorning her face. Seemingly un-phased by the presence of your towering bodyguards, she continues closing. Your guards start reaching for their sidearms...

""Captain $playerName, I suppose"".","sunrider_findSunrider_intro2:""The one and only.""
sunrider_findSunrider_introLeaveEarly:""No, you confused me with someone else.""
",
sunrider_findSunrider_introLeave,DialogOptionSelected,$option == sunrider_findSunrider_introLeave,Sunrider_MiscFunctions declineMission,"""I see, sorry to bother you."" She turns and disappears into the crowd.",backToBar:Return to the bar,
sunrider_findSunrider_introLeaveRude,DialogOptionSelected,$option == sunrider_findSunrider_introLeaveRude,Sunrider_MiscFunctions declineMission,"""Oh, good luck finding it. Too bad you never will without me or access to the code of the universe itself!""

She turns on her heel and walks off, muttering something you don't quite catch.",backToBar:Return to the bar,
sunrider_findSunrider_introLeaveEarly,DialogOptionSelected,$option == sunrider_findSunrider_introLeaveEarly,Sunrider_MiscFunctions declineMission,"Even though she doesn’t seem to believe it, she says ""I see, apologies for bothering you,"" and disappears into the crowd.",backToBar:Return to the bar,
sunrider_findSunrider_intro2,DialogOptionSelected,$option == sunrider_findSunrider_intro2,,"You lift a hand, and your bodyguards relax a little.

""Thank you,"" she says, ""My name is Ava Crescentia. Pleased to meet you.""

You notice she is only wearing one glove. On the same side as the eyepatch, as it happens.","sunrider_findSunrider_intro3:Shake her hand
sunrider_findSunrider_intro3Alt:Ask if she is a pirate out of curiosity",
